,category,subcategory,githuburl,featured,links,description,_repopath,_reponame,_stars,_forks,_watches,_topics,_language,_homepage,_description,_organization,_updated_at,_last_commit_date,_created_at,_age_weeks,_stars_per_week
273,eoc,blockchain,https://github.com/EOSIO/ricardian-template-toolkit,,,,EOSIO/ricardian-template-toolkit,ricardian-template-toolkit,34,15,32,[],TypeScript,,Renderer for the Ricardian Contract specification,EOSIO,2021-09-11,2019-10-10,2019-03-12,133,0.2556390977443609
103,ethereum,blockchain,https://github.com/ethereum/eth-bloom,1.0,,,ethereum/eth-bloom,eth-bloom,33,22,13,[],Python,,An implementation of the Ethereum bloom filter.,ethereum,2021-09-16,2021-04-21,2017-04-05,233,0.14111178985949907
416,dash,,https://github.com/dashpay/docker-dashd,,,,dashpay/docker-dashd,docker-dashd,33,61,16,[],Shell,,Docker image that runs the Dash dashd node in a container for easy deployment,dashpay,2021-06-17,2020-12-17,2016-07-24,270,0.12209302325581395
57,ethereum,blockchain,https://github.com/ethereum/rpc-tests,1.0,,,ethereum/rpc-tests,rpc-tests,33,28,9,[],JavaScript,,,ethereum,2021-04-09,2017-09-11,2015-03-02,343,0.09616985845129059
463,0xproject,?,https://github.com/0xProject/web3-typescript-typings,,,? eth ?,0xProject/web3-typescript-typings,web3-typescript-typings,33,15,7,[],,,[DEPRECATED] A preliminary Web3 v0.x typescript type definition,0xProject,2021-04-20,2018-01-11,2017-05-24,226,0.14546599496221663
202,cardano,blockchain,https://github.com/input-output-hk/medusa,,,,input-output-hk/medusa,medusa,33,12,5,[],JavaScript,,3D github repository visualiser,input-output-hk,2021-09-18,2020-01-13,2018-03-06,186,0.1774193548387097
203,cardano,blockchain,https://github.com/input-output-hk/project-icarus-chrome,,,,input-output-hk/project-icarus-chrome,project-icarus-chrome,32,9,12,"['cardano', 'chrome-extension', 'wallet', 'react', 'webassembly']",JavaScript,,"Icarus, a reference implementation for a lightweight wallet developed by the IOHK Engineering Team. ",input-output-hk,2020-07-02,2018-10-12,2018-03-12,185,0.1728395061728395
207,cardano,blockchain,https://github.com/input-output-hk/mallet,,,,input-output-hk/mallet,mallet,32,14,19,[],JavaScript,,,input-output-hk,2021-09-07,2021-02-25,2018-06-26,170,0.18823529411764706
520,dfinity,,https://github.com/dfinity/keysmith,,,,dfinity/keysmith,keysmith,32,14,7,"['cryptocurrency', 'self-custody', 'internet-computer', 'dfinity']",Shell,,Hierarchical Deterministic Key Derivation for the Internet Computer,dfinity,2021-09-27,2021-09-27,2021-03-21,27,1.1727748691099475
483,augur,monorepo,https://github.com/AugurProject/docs,,,,AugurProject/docs,docs,32,15,26,[],JavaScript,http://docs.augur.net,Legacy Augur V1 Documentation,AugurProject,2021-06-08,2019-10-29,2015-06-29,326,0.09811651335961455
137,ethereum,blockchain,https://github.com/ethereum/consensus-spec-tests,1.0,,,ethereum/consensus-spec-tests,consensus-spec-tests,32,9,14,[],,,Common tests for the Ethereum proof-of-stake consensus layer,ethereum,2021-09-27,2021-09-27,2019-04-25,126,0.2525366403607666
353,iota,client,https://github.com/iotaledger/cli-app,,,?,iotaledger/cli-app,cli-app,32,23,11,[],JavaScript,,CLI App that acts as a wallet ,iotaledger,2021-02-08,2018-01-24,2016-09-24,261,0.12240437158469945
175,algorand,blockchain,https://github.com/algorand/pointproofs,,,,algorand/pointproofs,pointproofs,32,6,11,[],Rust,,,algorand,2021-09-14,2020-06-15,2019-06-21,118,0.26987951807228916
419,dash,,https://github.com/dashpay/docs,,,,dashpay/docs,docs,32,62,16,[],Python,https://docs.dash.org,Dash User Documentation,dashpay,2021-08-30,2021-08-30,2017-12-20,196,0.1625544267053701
377,iota,client,https://github.com/iotaledger/ict,,,?,iotaledger/ict,ict,32,11,20,[],Java,,,iotaledger,2021-04-30,2019-05-15,2018-06-11,172,0.18589211618257262
388,iota,client,https://github.com/iotaledger/identity.ts,,,?,iotaledger/identity.ts,identity.ts,31,9,12,[],TypeScript,,,iotaledger,2021-09-20,2020-04-21,2019-08-05,112,0.2764331210191083
363,iota,client,https://github.com/iotaledger/giotan,,,?,iotaledger/giotan,giotan,31,12,8,"['cli', 'tool', 'iota', 'cryptocurrency', 'golang', 'internet-of-things']",Go,,The CLI Tool for IOTA in Go,iotaledger,2021-02-08,2017-04-30,2017-03-28,235,0.13191489361702127
408,iota,client,https://github.com/iotaledger/wasplib,,,?,iotaledger/wasplib,wasplib,31,2,10,[],Go,,,iotaledger,2021-09-18,2021-09-18,2020-09-24,52,0.5880758807588076
383,iota,client,https://github.com/iotaledger/poc-ipfs,,,?,iotaledger/poc-ipfs,poc-ipfs,31,10,32,"['iota', 'ipfs', 'tangle']",TypeScript,,Demonstration of combining IOTA with IPFS for data storage.,iotaledger,2021-08-30,2021-05-25,2019-01-21,140,0.22120285423037717
143,ethereum,blockchain,https://github.com/ethereum/solidity-blog,1.0,,,ethereum/solidity-blog,solidity-blog,31,18,11,[],HTML,https://blog.soliditylang.org,Collection of articles about the Solidity language and compiler,ethereum,2021-09-28,2021-09-28,2020-01-09,89,0.34554140127388533
460,0xproject,?,https://github.com/0xProject/whitepaper,,,? eth ?,0xProject/whitepaper,whitepaper,31,10,8,[],TeX,, Technical document that specifies 0x protocol.,0xProject,2021-01-15,2018-01-11,2017-02-02,242,0.12772218952324896
417,dash,,https://github.com/dashpay/sentinel,,,,dashpay/sentinel,sentinel,31,203,19,[],Python,https://www.dash.org,DashCore Sentinel Engine,dashpay,2021-05-26,2021-05-26,2017-02-04,242,0.1278727165586329
16,solana,blockchain,https://github.com/solana-labs/rbpf,,,,solana-labs/rbpf,rbpf,31,18,13,[],Rust,,Rust virtual machine and JIT compiler for eBPF programs,solana-labs,2021-09-27,2021-09-27,2018-10-04,155,0.19908256880733946
21,solana,blockchain,https://github.com/solana-labs/wormhole-hackathon,,,,solana-labs/wormhole-hackathon,wormhole-hackathon,31,11,16,[],,,,solana-labs,2021-09-13,2020-11-16,2020-10-05,51,0.6061452513966481
279,eoc,blockchain,https://github.com/EOSIO/eosio-webauthn-example-app,,,,EOSIO/eosio-webauthn-example-app,eosio-webauthn-example-app,31,9,50,[],TypeScript,,Example web app demonstrating EOSIO signing via WebAuthn,EOSIO,2021-05-21,2019-06-01,2019-04-26,126,0.24492099322799096
153,ethereum,blockchain,https://github.com/ethereum/solidity-underhanded-contest,1.0,,,ethereum/solidity-underhanded-contest,solidity-underhanded-contest,30,1,7,[],Solidity,http://underhanded.soliditylang.org,Website for the Solidity Underhanded Contest 2020,ethereum,2021-09-24,2020-12-03,2020-09-23,52,0.5675675675675675
505,qtum,wallet,https://github.com/qtumproject/qtumbook,,,?,qtumproject/qtumbook,qtumbook,30,23,11,[],,,Developer's Guide to QTUM,qtumproject,2021-06-18,2019-08-29,2017-12-13,197,0.15162454873646208
76,ethereum,blockchain,https://github.com/ethereum/diary,1.0,,,ethereum/diary,diary,30,14,52,[],,,The Ethereum Developer logs,ethereum,2020-04-22,2017-02-21,2016-02-05,294,0.10184287099903007
443,cosmos,sdk,https://github.com/cosmos/gex,,,,cosmos/gex,gex,30,12,4,"['blockchain', 'cosmossdk', 'tendermint', 'websocket', 'rpc']",Go,,In-terminal explorer for Cosmos SDK blockchains.,cosmos,2021-09-08,2021-07-05,2020-10-02,51,0.5817174515235457
88,ethereum,blockchain,https://github.com/ethereum/interfaces,1.0,,,ethereum/interfaces,interfaces,29,13,13,[],,,Interface Specifications inside Ethereum,ethereum,2021-06-26,2016-08-25,2016-08-08,268,0.108151305274374
277,eoc,blockchain,https://github.com/EOSIO/eosio-java-android-example-app,,,,EOSIO/eosio-java-android-example-app,eosio-java-android-example-app,29,10,18,[],Java,,Application demonstrating integration with EOSIO-based blockchains using EOSIO SDK for Java,EOSIO,2021-09-28,2020-11-30,2019-04-24,126,0.2286036036036036
260,eoc,blockchain,https://github.com/EOSIO/abieos,,,,EOSIO/abieos,abieos,29,31,27,[],C++,,Binary <> JSON conversion using ABIs. Compatible with languages which can interface to C,EOSIO,2021-08-16,2020-11-30,2018-06-08,172,0.16804635761589404
451,zcash,blockchain,https://github.com/zcash/zcash-docs,,,,zcash/zcash-docs,zcash-docs,29,21,11,[],,,Translations of Zcash documentation,zcash,2020-09-30,2018-01-18,2016-11-12,254,0.11398090960134756
258,eoc,blockchain,https://github.com/EOSIO/eosjs2,,,,EOSIO/eosjs2,eosjs2,29,20,31,[],TypeScript,,Library to talk to the eos api,EOSIO,2020-05-30,2018-10-04,2018-06-04,173,0.1674917491749175
187,cardano,blockchain,https://github.com/input-output-hk/rscoin-core,,,,input-output-hk/rscoin-core,rscoin-core,29,7,24,[],Haskell,,,input-output-hk,2021-07-06,2017-03-21,2016-08-28,265,0.10931610123855681
278,eoc,blockchain,https://github.com/EOSIO/eosio-swift-ios-example-app,,,,EOSIO/eosio-swift-ios-example-app,eosio-swift-ios-example-app,29,11,25,[],Swift,,Application demonstrating integration with EOSIO-based blockchains using EOSIO SDK for Swift,EOSIO,2021-08-16,2020-11-30,2019-04-25,126,0.22886133032694475
358,iota,client,https://github.com/iotaledger/ccurl,,,?,iotaledger/ccurl,ccurl,29,17,6,[],C,,C port of the Curl library,iotaledger,2021-02-08,2018-01-21,2016-12-03,251,0.11534090909090909
406,iota,client,https://github.com/iotaledger/one-click-tangle,,,?,iotaledger/one-click-tangle,one-click-tangle,29,10,4,"['tangle', 'tangle-deployment', 'docker', 'merkle-tree', 'tangle-explorer', 'coordinator', 'milestones', 'depth']",Shell,,"""One Click Tangle"" intends to make lives easier to IOTA adopters by providing pre-configured scripts and recipes that allow to deploy IOTA Networks and Nodes ""in one click"".",iotaledger,2021-09-22,2021-09-17,2020-08-26,56,0.5100502512562815
24,solana,blockchain,https://github.com/solana-labs/oyster-lending,,,,solana-labs/oyster-lending,oyster-lending,29,41,20,['solana'],TypeScript,,,solana-labs,2021-09-27,2021-03-16,2020-11-16,45,0.6424050632911392
322,tron,,https://github.com/tronprotocol/tron-box,,,,tronprotocol/tron-box,tron-box,29,26,12,[],,,TronBox - Simple development framework for tronweb,tronprotocol,2021-06-27,2019-05-08,2018-09-05,159,0.18141197497765862
435,cosmos,sdk,https://github.com/cosmos/amino-js,,,,cosmos/amino-js,amino-js,29,25,12,[],Go,https://cosmos.github.io/amino-js/,go-amino + GopherJS + TypeScript,cosmos,2021-08-07,2019-11-24,2019-06-04,121,0.2396694214876033
367,iota,client,https://github.com/iotaledger/iota.crypto.js,,,?,iotaledger/iota.crypto.js,iota.crypto.js,29,20,12,[],JavaScript,,,iotaledger,2021-02-08,2017-12-04,2017-08-14,215,0.1347941567065073
476,0xproject,?,https://github.com/0xProject/website,,,? eth ?,0xProject/website,website,29,39,11,[],TypeScript,https://0x.org/,0x.org website,0xProject,2021-09-27,2021-09-27,2019-09-03,108,0.26851851851851855
382,iota,client,https://github.com/iotaledger/chat.ixi,,,?,iotaledger/chat.ixi,chat.ixi,29,8,16,[],JavaScript,,,iotaledger,2021-09-11,2019-03-29,2019-01-01,143,0.20279720279720279
478,0xproject,?,https://github.com/0xProject/tools,,,? eth ?,0xProject/tools,tools,29,23,6,[],TypeScript,,,0xProject,2021-09-23,2021-09-23,2020-10-20,49,0.5918367346938775
519,dfinity,,https://github.com/dfinity/rosetta-client,,,,dfinity/rosetta-client,rosetta-client,29,7,23,[],JavaScript,,,dfinity,2021-09-10,2021-08-13,2021-02-16,32,0.90625
117,ethereum,blockchain,https://github.com/ethereum/plasma,1.0,,,ethereum/plasma,plasma,28,6,15,[],,,,ethereum,2020-04-22,2018-01-19,2018-01-19,192,0.14540059347181009
507,dfinity,,https://github.com/dfinity/sdk,,,,dfinity/sdk,sdk,28,4,29,[],Rust,https://sdk.dfinity.org,The DFINITY Canister Software Development Kit (SDK),dfinity,2021-09-28,2021-09-25,2019-07-23,114,0.24561403508771928
524,dfinity,,https://github.com/dfinity/quill,,,,dfinity/quill,quill,28,8,37,[],Rust,,Minimalistic governance & ledger toolkit for cold wallets,dfinity,2021-09-27,2021-09-27,2021-05-14,19,1.4306569343065694
274,eoc,blockchain,https://github.com/EOSIO/welcome,,,,EOSIO/welcome,welcome,28,37,11,[],C++,,"Documentation that covers EOSIO Overview, Getting Started and Protocol documents",EOSIO,2021-09-11,2020-12-15,2019-03-12,133,0.21052631578947367
348,neo,,https://github.com/neo-project/neo-devpack-java,,,,neo-project/neo-devpack-java,neo-devpack-java,28,21,20,['neo'],Java,,,neo-project,2020-08-28,2018-03-26,2017-08-23,213,0.13092852371409486
498,qtum,wallet,https://github.com/qtumproject/qtum-android,,,?,qtumproject/qtum-android,qtum-android,28,50,13,[],Java,,,qtumproject,2020-10-30,2018-10-04,2017-01-18,244,0.11435239206534423
458,dogecoin,,https://github.com/dogecoin/dips,,,,dogecoin/dips,dips,28,17,9,[],,,Dogecoin Improvement Proposals,dogecoin,2021-07-11,2014-06-30,2014-04-12,389,0.0719002201027146
415,dash,,https://github.com/dashpay/dash-website,,,,dashpay/dash-website,dash-website,28,52,13,[],HTML,,,dashpay,2021-02-18,2019-02-09,2016-06-14,276,0.10144927536231885
471,0xproject,?,https://github.com/0xProject/dev-tools-truffle-example,,,? eth ?,0xProject/dev-tools-truffle-example,dev-tools-truffle-example,28,13,8,[],JavaScript,,An example Truffle project showing how to use the 0x Dev Tools with the Truffle framework,0xProject,2021-07-15,2019-07-30,2019-01-17,140,0.19898477157360406
206,cardano,blockchain,https://github.com/input-output-hk/js-cardano-wasm,,,,input-output-hk/js-cardano-wasm,js-cardano-wasm,27,24,9,[],Rust,,various cardano javascript using wasm bindings,input-output-hk,2021-09-26,2020-08-13,2018-04-24,179,0.15083798882681565
305,stella,,https://github.com/stellar/stellar-demo-wallet,,,,stellar/stellar-demo-wallet,stellar-demo-wallet,27,26,21,[],TypeScript,,Provides a front-end interface to test SEP interoperability. Website at https://demo-wallet.stellar.org/ ,stellar,2021-09-23,2021-09-23,2019-12-04,94,0.28463855421686746
214,cardano,blockchain,https://github.com/input-output-hk/cardano-shell,,,,input-output-hk/cardano-shell,cardano-shell,27,10,43,"['cryptocurrency', 'blockchain', 'cardano', 'ada']",Haskell,,"Node shell, a thin layer for running the node and it's modules.",input-output-hk,2021-08-09,2020-12-21,2018-10-22,153,0.17630597014925373
254,eoc,blockchain,https://github.com/EOSIO/eosjs-json,,,,EOSIO/eosjs-json,eosjs-json,27,16,47,[],JavaScript,,Information about the EOS blockchain in the JSON file format.,EOSIO,2021-05-21,2018-06-28,2017-08-03,216,0.12458800263678313
44,ethereum,blockchain,https://github.com/ethereum/ethereum-buildbot,1.0,,,ethereum/ethereum-buildbot,ethereum-buildbot,27,35,22,[],Python,https://build.ethdev.com/waterfall,Ethereum Buildbot,ethereum,2020-12-12,2016-07-16,2014-07-08,377,0.07161803713527852
337,thor,,https://github.com/vechain/docs,,,,vechain/docs,docs,27,33,9,[],JavaScript,https://docs.vechain.org,Everything you need to know about VeChainThor,vechain,2021-09-18,2021-09-18,2019-09-10,107,0.2523364485981308
518,dfinity,,https://github.com/dfinity/cycles-wallet,,,,dfinity/cycles-wallet,cycles-wallet,27,13,13,[],TypeScript,,DFINITY Cycles Wallet,dfinity,2021-09-21,2021-09-03,2020-10-06,51,0.5294117647058824
40,ethereum,blockchain,https://github.com/ethereum/tryethereum,1.0,,,ethereum/tryethereum,tryethereum,27,21,18,[],JavaScript,,Try Ethereum with an online interface,ethereum,2020-08-28,2014-09-04,2014-04-20,388,0.0695364238410596
331,tron,,https://github.com/tronprotocol/tronj,,,,tronprotocol/tronj,tronj,27,14,4,[],Java,,Java sdk of tron,tronprotocol,2021-09-11,2021-03-09,2020-12-01,43,0.627906976744186
226,cardano,blockchain,https://github.com/input-output-hk/stakepool-management-tools,,,,input-output-hk/stakepool-management-tools,stakepool-management-tools,27,7,13,[],JavaScript,,,input-output-hk,2021-04-26,2019-12-16,2019-11-14,97,0.27631578947368424
323,tron,,https://github.com/tronprotocol/tron-studio,,,,tronprotocol/tron-studio,tron-studio,26,24,13,[],Java,,DEPRECATED. Use TronBox for smart contract deployment.,tronprotocol,2021-03-30,2019-03-26,2018-09-05,159,0.16264521894548703
275,eoc,blockchain,https://github.com/EOSIO/eosio-reference-chrome-extension-authenticator-app,,,,EOSIO/eosio-reference-chrome-extension-authenticator-app,eosio-reference-chrome-extension-authenticator-app,26,17,39,[],TypeScript,,Chrome extension reference app demonstrating how users could sign transactions using various EOSIO Labs tools,EOSIO,2021-05-21,2019-10-10,2019-03-15,132,0.1961206896551724
255,eoc,blockchain,https://github.com/EOSIO/eosjs-fcbuffer,,,,EOSIO/eosjs-fcbuffer,eosjs-fcbuffer,26,20,34,[],JavaScript,,Serialization library geared towards immutable data storage such as blockchains.,EOSIO,2021-09-08,2018-09-23,2017-08-03,216,0.11997363216875412
324,tron,,https://github.com/tronprotocol/docker-tron-quickstart,,,,tronprotocol/docker-tron-quickstart,docker-tron-quickstart,26,30,10,[],,,A full private network for Tron development,tronprotocol,2021-05-26,2019-05-08,2018-10-05,155,0.16712580348943984
329,tron,,https://github.com/tronprotocol/documentation-zh,,,,tronprotocol/documentation-zh,documentation-zh,26,49,8,[],,,,tronprotocol,2021-09-15,2021-09-09,2019-05-17,123,0.21040462427745665
232,cardano,blockchain,https://github.com/input-output-hk/smash,,,,input-output-hk/smash,smash,26,6,35,[],Haskell,,Stakepool Metadata Aggregation Server,input-output-hk,2021-09-22,2021-08-20,2020-03-17,80,0.325
149,ethereum,blockchain,https://github.com/ethereum/abm1559,1.0,,,ethereum/abm1559,abm1559,26,11,7,"['ethereum', 'game-theory', 'agent-based-model']",HTML,,Transaction markets in Python,ethereum,2021-09-26,2021-09-26,2020-07-07,64,0.40625
222,cardano,blockchain,https://github.com/input-output-hk/chain-libs,,,,input-output-hk/chain-libs,chain-libs,26,25,13,[],Rust,,blockchain libs,input-output-hk,2021-09-22,2021-09-22,2019-06-18,119,0.2184873949579832
373,iota,client,https://github.com/iotaledger/docs,,,?,iotaledger/docs,docs,26,91,13,[],JavaScript,https://docs.iota.org,IOTA documentation website - PRs welcome!,iotaledger,2021-02-17,2019-01-15,2018-04-19,179,0.14467408585055644
92,ethereum,blockchain,https://github.com/ethereum/ethereum-client-binaries,1.0,,,ethereum/ethereum-client-binaries,ethereum-client-binaries,26,31,14,[],JavaScript,,Download Ethereum client binaries for your OS,ethereum,2020-04-22,2018-03-19,2016-09-18,262,0.09912854030501089
497,qtum,wallet,https://github.com/qtumproject/qtum-ios,,,?,qtumproject/qtum-ios,qtum-ios,26,36,9,[],Objective-C,,,qtumproject,2018-10-04,2018-10-04,2017-01-18,244,0.10618436406067679
379,iota,client,https://github.com/iotaledger/cliri,,,?,iotaledger/cliri,cliri,25,9,21,[],Java,,Coo Less IRI,iotaledger,2021-02-08,2019-04-28,2018-11-21,148,0.16794625719769674
50,ethereum,blockchain,https://github.com/ethereum/ethereum.org,1.0,,,ethereum/ethereum.org,ethereum.org,25,35,15,[],HTML,,[ARCHIVED] Ethereum website from 2015,ethereum,2021-08-13,2015-06-29,2015-01-13,350,0.07142857142857142
334,thor,,https://github.com/vechain/thor-client-sdk4j,,,,vechain/thor-client-sdk4j,thor-client-sdk4j,25,27,6,[],Java,,A SDK toolkit for client to call VeChain Thor Restful API.,vechain,2021-09-07,2020-08-21,2018-06-20,170,0.14632107023411373
502,qtum,wallet,https://github.com/qtumproject/qtum-web-wallet,,,?,qtumproject/qtum-web-wallet,qtum-web-wallet,25,54,19,"['qtum', 'webwallet', 'qtumwallet', 'wallet']",Vue,https://qtumwallet.org,A web wallet for QTUM,qtumproject,2021-09-28,2021-09-28,2017-09-18,210,0.11896668932698844
496,aave,?,https://github.com/aave/aave-stake-v2,,,,aave/aave-stake-v2,aave-stake-v2,25,20,4,[],TypeScript,,V2 implementation of the stkAAVE token,aave,2021-09-25,2021-06-24,2020-12-10,41,0.5993150684931506
485,augur,monorepo,https://github.com/AugurProject/react-blockies,,,,AugurProject/react-blockies,react-blockies,25,8,19,"['ethereum', 'identicon', 'react', 'blockies']",JavaScript,,React Component for Generating Identicons Congruent to Ethereum Wallet’s Identicons,AugurProject,2021-09-23,2017-10-26,2017-06-21,222,0.11217948717948718
227,cardano,blockchain,https://github.com/input-output-hk/cardano-launcher,,,,input-output-hk/cardano-launcher,cardano-launcher,25,5,29,[],TypeScript,https://input-output-hk.github.io/cardano-launcher/,Shelley cardano-node and cardano-wallet launcher for NodeJS applications,input-output-hk,2021-09-20,2021-09-01,2020-01-21,88,0.2840909090909091
486,augur,monorepo,https://github.com/AugurProject/ethereum-nodes,,,,AugurProject/ethereum-nodes,ethereum-nodes,25,12,20,[],Shell,,Docker images for geth and Parity,AugurProject,2021-07-27,2019-05-10,2017-10-26,204,0.12212142358688068
