,category,subcategory,githuburl,featured,links,description,_repopath,_reponame,_stars,_forks,_watches,_topics,_language,_homepage,_description,_organization,_updated_at,_last_commit_date,_created_at,_age_weeks,_stars_per_week
234,cardano,blockchain,https://github.com/input-output-hk/cardano-rosetta,,,,input-output-hk/cardano-rosetta,cardano-rosetta,49,19,23,"['blockchain', 'cardano', 'explorer']",TypeScript,https://www.rosetta-api.org,An implementation of Rosetta for Cardano ,input-output-hk,2021-09-26,2021-09-16,2020-06-19,66,0.7360515021459227
166,chainlink,blockchain,https://github.com/smartcontractkit/documentation,,,,smartcontractkit/documentation,documentation,48,70,38,"['chainlink', 'solidity', 'defi', 'blockchain']",JavaScript,,https://docs.chain.link The Chainlink developer documentation website for Smart Contract Devs and Node Operators,smartcontractkit,2021-09-28,2021-09-28,2021-03-29,26,1.8360655737704918
47,ethereum,blockchain,https://github.com/ethereum/node-ethereum,1.0,,,ethereum/node-ethereum,node-ethereum,48,33,17,[],JavaScript,,[DEPRECATED] a simple standalone or embeddable Ethereum client written for Node.js,ethereum,2020-09-08,2015-12-09,2014-10-08,363,0.13191990577149587
504,qtum,wallet,https://github.com/qtumproject/solar,,,?,qtumproject/solar,solar,48,36,13,[],Go,,smart contract deployment tool,qtumproject,2021-07-11,2020-10-10,2017-11-21,201,0.23880597014925373
517,dfinity,,https://github.com/dfinity/agent-js,,,,dfinity/agent-js,agent-js,48,22,15,[],TypeScript,,"A collection of libraries and tools for building software around the Internet Computer, in JavaScript.",dfinity,2021-09-27,2021-09-10,2020-08-26,56,0.8442211055276382
241,cardano,blockchain,https://github.com/input-output-hk/plutus-use-cases,,,,input-output-hk/plutus-use-cases,plutus-use-cases,48,30,20,[],,,Plutus Use Cases,input-output-hk,2021-09-26,2021-04-23,2021-04-22,22,2.1132075471698113
366,iota,client,https://github.com/iotaledger/kerl,,,?,iotaledger/kerl,kerl,48,17,12,[],Rust,,"IOTA is adding an additional hashing function, based on Keccak, with conversion to ternary. The following document describes the functionality and specification to be implemented.",iotaledger,2021-08-08,2019-07-18,2017-08-08,216,0.2222222222222222
386,iota,client,https://github.com/iotaledger/industry-marketplace,,,?,iotaledger/industry-marketplace,industry-marketplace,48,13,31,[],JavaScript,https://industry.iota.org,The world's first autonomous and decentralized Industry Marketplace,iotaledger,2021-09-15,2021-03-23,2019-05-22,122,0.39069767441860465
503,qtum,wallet,https://github.com/qtumproject/qtumjs,,,?,qtumproject/qtumjs,qtumjs,47,35,11,[],TypeScript,,Qtum DApp JavaScript Library,qtumproject,2021-09-04,2020-11-13,2017-11-16,201,0.2330028328611898
9,ripple,blockchain,https://github.com/ripple/ripple-data-api,,,,ripple/ripple-data-api,ripple-data-api,47,40,31,[],JavaScript,,Ripplecharts API (DEPRECATED),ripple,2020-06-29,2015-10-26,2014-02-26,395,0.11872970046914472
381,iota,client,https://github.com/iotaledger/qupla,,,?,iotaledger/qupla,qupla,47,8,15,[],Java,,A QUbic Programming LAnguage,iotaledger,2021-08-24,2020-04-13,2018-12-21,144,0.325098814229249
346,neo,,https://github.com/neo-project/neo.org,,,,neo-project/neo.org,neo.org,47,123,15,['neo'],JavaScript,https://neo.org,,neo-project,2021-09-06,2021-09-06,2017-07-18,219,0.2146118721461187
336,thor,,https://github.com/vechain/connex,,,,vechain/connex,connex,46,32,16,"['connex', 'sync', 'vechain', 'dapp']",TypeScript,https://docs.vechain.org/connex/,The mono-repo contains libraries to help build dApps for VeChain.,vechain,2021-09-10,2021-07-15,2018-12-02,147,0.3123181377303589
257,eoc,blockchain,https://github.com/EOSIO/patroneos,,,,EOSIO/patroneos,patroneos,46,32,41,[],Go,,RPC Checkpoint for EOS nodes,EOSIO,2021-05-21,2018-08-14,2018-05-10,176,0.2603071948261924
127,ethereum,blockchain,https://github.com/ethereum/grid-ui,1.0,,,ethereum/grid-ui,grid-ui,46,20,9,[],JavaScript,https://grid.ethereum.org/,**DEPRECATED** UI for Ethereum Grid,ethereum,2021-02-26,2020-06-09,2018-06-22,170,0.2696817420435511
121,ethereum,blockchain,https://github.com/ethereum/retesteth,1.0,,,ethereum/retesteth,retesteth,45,36,6,"['ethereum', 'tests', 'evm']",C++,http://retesteth.ethdevops.io/,"testeth via RPC. Test run, generation by t8ntool protocol",ethereum,2021-09-27,2021-09-15,2018-02-21,187,0.23954372623574144
430,cosmos,sdk,https://github.com/cosmos/game-of-stakes,,,,cosmos/game-of-stakes,game-of-stakes,45,209,17,[],Python,,,cosmos,2021-04-06,2020-06-29,2018-12-03,147,0.3058252427184466
209,cardano,blockchain,https://github.com/input-output-hk/project-icarus,,,,input-output-hk/project-icarus,project-icarus,44,9,14,[],,,"Icarus, a reference implementation for a lightweight wallet developed by the IOHK Engineering Team. ",input-output-hk,2020-10-16,2018-08-29,2018-08-14,163,0.26993865030674846
225,cardano,blockchain,https://github.com/input-output-hk/cardano-ops,,,,input-output-hk/cardano-ops,cardano-ops,44,162,36,[],Nix,,NixOps deployment configuration for IOHK/Cardano devops ,input-output-hk,2021-09-27,2021-09-27,2019-10-14,102,0.4307692307692308
397,iota,client,https://github.com/iotaledger/explorer,,,?,iotaledger/explorer,explorer,44,8,6,"['tangle', 'iota', 'explorer']",TypeScript,https://explorer.iota.org,Explore the IOTA Tangle,iotaledger,2021-09-20,2021-09-20,2020-04-16,75,0.5811320754716981
469,0xproject,?,https://github.com/0xProject/0x-relayer-registry,,,? eth ?,0xProject/0x-relayer-registry,0x-relayer-registry,43,48,12,[],TypeScript,https://0xproject.com/,A collection of relayers using 0x,0xProject,2021-03-05,2020-03-13,2018-03-09,185,0.2317167051578137
66,ethereum,blockchain,https://github.com/ethereum/alethzero,1.0,,,ethereum/alethzero,alethzero,43,39,23,[],,http://www.ethereum.org,"Former home of AlethZero, AlethOne and AlethFive (cpp-ethereum)",ethereum,2020-06-25,2016-08-18,2015-08-17,319,0.13473589973142344
349,neo,,https://github.com/neo-project/neo-modules,,,,neo-project/neo-modules,neo-modules,43,87,32,['neo'],C#,,,neo-project,2021-09-28,2021-09-28,2018-06-29,169,0.2535804549283909
492,aave,?,https://github.com/aave/aip,,,,aave/aip,aip,43,66,7,[],JavaScript,,Aave Improvement Proposals,aave,2021-09-23,2021-09-10,2020-04-08,76,0.5594795539033457
427,cosmos,sdk,https://github.com/cosmos/ledger-cosmos-obsolete,,,,cosmos/ledger-cosmos-obsolete,ledger-cosmos-obsolete,43,31,11,[],C++,,Ledger Nano S support for Tendermint/Cosmos,cosmos,2020-12-11,2020-06-29,2018-03-03,186,0.23065134099616857
180,algorand,blockchain,https://github.com/algorand/indexer,,,,algorand/indexer,indexer,43,39,13,[],Go,,searchable history and current state,algorand,2021-09-27,2021-09-27,2020-01-10,89,0.4800637958532695
411,dash,,https://github.com/dashpay/p2pool-dash,,,,dashpay/p2pool-dash,p2pool-dash,42,90,26,[],Python,,,dashpay,2021-08-10,2020-02-10,2014-10-06,364,0.11533934876422126
393,iota,client,https://github.com/iotaledger/hive.go,,,?,iotaledger/hive.go,hive.go,42,20,33,[],Go,,"A Go library containing data structures, various utils and abstractions which are used by both GoShimmer and Hornet.",iotaledger,2021-09-13,2021-09-13,2019-11-12,98,0.42857142857142855
405,iota,client,https://github.com/iotaledger/node-dashboard,,,?,iotaledger/node-dashboard,node-dashboard,42,3,8,[],TypeScript,,,iotaledger,2021-05-17,2021-05-17,2020-08-21,57,0.7295285359801489
298,stella,,https://github.com/stellar/os-projects,,,,stellar/os-projects,os-projects,42,42,17,[],,,,stellar,2021-06-08,2018-11-14,2018-01-16,193,0.21761658031088082
401,iota,client,https://github.com/iotaledger/hornet,,,?,iotaledger/hornet,hornet,42,4,4,[],Go,,HORNET is a powerful IOTA fullnode software,iotaledger,2021-09-02,2021-09-02,2020-06-09,68,0.6176470588235294
453,zcash,blockchain,https://github.com/zcash/zcash-android-wallet-sdk,,,,zcash/zcash-android-wallet-sdk,zcash-android-wallet-sdk,42,34,11,[],Kotlin,,Native Android SDK for Zcash,zcash,2021-09-27,2021-09-27,2018-10-05,155,0.2699724517906336
216,cardano,blockchain,https://github.com/input-output-hk/iohk-nix,,,,input-output-hk/iohk-nix,iohk-nix,41,14,76,[],Nix,,nix scripts shared across projects,input-output-hk,2021-09-16,2021-09-16,2018-11-07,150,0.27178030303030304
387,iota,client,https://github.com/iotaledger/meta-iota,,,?,iotaledger/meta-iota,meta-iota,41,5,3,"['tangle', 'yocto', 'openembedded', 'iota', 'distributed-ledger', 'embedded-linux', 'linux', 'iota-node', 'yocto-project', 'yocto-layer', 'yocto-meta', 'openembedded-layer']",BitBake,,OpenEmbedded layer for the IOTA Distributed Ledger,iotaledger,2021-08-10,2021-01-07,2019-07-11,115,0.35432098765432096
228,cardano,blockchain,https://github.com/input-output-hk/cardano-rest,,,,input-output-hk/cardano-rest,cardano-rest,41,19,22,"['cardano', 'http', 'api', 'explorer']",Haskell,https://input-output-hk.github.io/cardano-rest/migration-guide/,HTTP interfaces for interacting with the Cardano blockchain.,input-output-hk,2021-09-17,2021-04-07,2020-02-11,85,0.4823529411764706
437,cosmos,sdk,https://github.com/cosmos/modules,,,,cosmos/modules,modules,41,29,15,[],Go,,,cosmos,2021-09-24,2020-07-15,2019-10-03,103,0.3953168044077135
56,ethereum,blockchain,https://github.com/ethereum/meteor-package-elements,1.0,,,ethereum/meteor-package-elements,meteor-package-elements,41,50,12,[],JavaScript,,,ethereum,2020-11-13,2020-06-15,2015-02-09,346,0.11844820470491127
